Date,Symbol,Close
2019-08-16,HDFCBANK,2227.7
2019-08-19,HDFCBANK,2206.85
2019-08-20,HDFCBANK,2220.6
2019-08-21,HDFCBANK,2225.85
2019-08-22,HDFCBANK,2174.1
2019-08-23,HDFCBANK,2162.7
2019-08-26,HDFCBANK,2256.15
2019-08-27,HDFCBANK,2259.95
2019-08-28,HDFCBANK,2247.5
2019-08-29,HDFCBANK,2226.95
2019-08-30,HDFCBANK,2227.95
2019-09-03,HDFCBANK,2210.95
2019-09-04,HDFCBANK,2247.75
2019-09-05,HDFCBANK,2235.15
2019-09-06,HDFCBANK,2245.9
2019-09-09,HDFCBANK,2249.6
2019-09-11,HDFCBANK,2251.3
2019-09-12,HDFCBANK,2270.85
2019-09-13,HDFCBANK,2257.45
2019-09-16,HDFCBANK,2244.15
2019-09-17,HDFCBANK,2211.35
2019-09-18,HDFCBANK,2187.75
2019-09-19,HDFCBANK,1101.05
2019-09-20,HDFCBANK,1199.6
2019-09-23,HDFCBANK,1257.25
2019-09-24,HDFCBANK,1253.8
2019-09-25,HDFCBANK,1239.7
2019-09-26,HDFCBANK,1242.5
2019-09-27,HDFCBANK,1244.2
2019-09-30,HDFCBANK,1227.45
2019-10-01,HDFCBANK,1248.8
2019-10-03,HDFCBANK,1223.55
2019-10-04,HDFCBANK,1189.7
2019-10-07,HDFCBANK,1186.9
2019-10-09,HDFCBANK,1228.15
2019-10-10,HDFCBANK,1200.55
2019-10-11,HDFCBANK,1198.8
2019-10-14,HDFCBANK,1204.4
2019-10-15,HDFCBANK,1223.05
2019-10-16,HDFCBANK,1221.1
2019-10-17,HDFCBANK,1220.0
2019-10-18,HDFCBANK,1229.0
2019-10-22,HDFCBANK,1239.3
2019-10-23,HDFCBANK,1241.6
2019-10-24,HDFCBANK,1236.1
2019-10-25,HDFCBANK,1229.0
2019-10-27,HDFCBANK,1237.7
2019-10-29,HDFCBANK,1242.5
2019-10-30,HDFCBANK,1248.35
2019-10-31,HDFCBANK,1230.35
2019-11-01,HDFCBANK,1240.05
2019-11-04,HDFCBANK,1236.85
2019-11-05,HDFCBANK,1239.5
2019-11-06,HDFCBANK,1256.65
2019-11-07,HDFCBANK,1263.7
2019-11-08,HDFCBANK,1255.6
2019-11-11,HDFCBANK,1264.75
2019-11-13,HDFCBANK,1257.55
2019-11-14,HDFCBANK,1273.9
2019-11-15,HDFCBANK,1277.9
2019-11-18,HDFCBANK,1262.05
2019-11-19,HDFCBANK,1271.9
2019-11-20,HDFCBANK,1273.35
2019-11-21,HDFCBANK,1283.35
2019-11-22,HDFCBANK,1264.75
2019-11-25,HDFCBANK,1271.1
2019-11-26,HDFCBANK,1275.05
2019-11-27,HDFCBANK,1278.4
2019-11-28,HDFCBANK,1265.3
2019-11-29,HDFCBANK,1274.95
2019-12-02,HDFCBANK,1265.75
2019-12-03,HDFCBANK,1255.4
2019-12-04,HDFCBANK,1251.65
2019-12-05,HDFCBANK,1245.6
2019-12-06,HDFCBANK,1246.05
2019-12-09,HDFCBANK,1242.95
2019-12-10,HDFCBANK,1249.5
2019-12-11,HDFCBANK,1248.75
2019-12-12,HDFCBANK,1263.6
2019-12-13,HDFCBANK,1263.85
2019-12-16,HDFCBANK,1257.35
2019-12-17,HDFCBANK,1271.1
2019-12-18,HDFCBANK,1292.35
2019-12-19,HDFCBANK,1288.8
2019-12-20,HDFCBANK,1296.7
2019-12-23,HDFCBANK,1302.4
2019-12-24,HDFCBANK,1289.15
2019-12-26,HDFCBANK,1270.45
2019-12-27,HDFCBANK,1275.0
2019-12-30,HDFCBANK,1282.15
2019-12-31,HDFCBANK,1272.1
2020-01-01,HDFCBANK,1278.6
2020-01-02,HDFCBANK,1286.75
2020-01-03,HDFCBANK,1268.4
2020-01-06,HDFCBANK,1240.95
2020-01-07,HDFCBANK,1260.6
2020-01-08,HDFCBANK,1257.3
2020-01-09,HDFCBANK,1271.4
2020-01-10,HDFCBANK,1282.7
2020-01-13,HDFCBANK,1286.0
2020-01-14,HDFCBANK,1289.5
2020-01-15,HDFCBANK,1284.25
2020-01-16,HDFCBANK,1287.65
2020-01-17,HDFCBANK,1278.15
2020-01-20,HDFCBANK,1254.9
2020-01-21,HDFCBANK,1244.35
2020-01-22,HDFCBANK,1240.85
2020-01-23,HDFCBANK,1244.85
2020-01-24,HDFCBANK,1244.55
2020-01-27,HDFCBANK,1213.2
2020-01-28,HDFCBANK,1223.2
2020-01-29,HDFCBANK,1235.85
2020-01-30,HDFCBANK,1226.05
2020-01-31,HDFCBANK,1226.3
2020-02-01,HDFCBANK,1198.7
2020-02-03,HDFCBANK,1192.8
2020-02-04,HDFCBANK,1229.8
2020-02-05,HDFCBANK,1244.65
2020-02-06,HDFCBANK,1239.8
2020-02-07,HDFCBANK,1242.2
2020-02-10,HDFCBANK,1240.3
2020-02-11,HDFCBANK,1240.6
2020-02-12,HDFCBANK,1249.0
2020-02-13,HDFCBANK,1241.4
2020-02-14,HDFCBANK,1219.35
2020-02-17,HDFCBANK,1217.15
2020-02-18,HDFCBANK,1213.25
2020-02-19,HDFCBANK,1227.2
2020-02-20,HDFCBANK,1217.1
2020-02-24,HDFCBANK,1209.95
2020-02-25,HDFCBANK,1200.3
2020-02-26,HDFCBANK,1199.25
2020-02-27,HDFCBANK,1199.45
2020-02-28,HDFCBANK,1177.65
2020-03-02,HDFCBANK,1179.6
2020-03-03,HDFCBANK,1181.8
2020-03-04,HDFCBANK,1148.85
2020-03-05,HDFCBANK,1151.35
2020-03-06,HDFCBANK,1134.9
2020-03-09,HDFCBANK,1107.3
2020-03-11,HDFCBANK,1113.8
2020-03-12,HDFCBANK,1021.3
2020-03-13,HDFCBANK,1069.8
2020-03-16,HDFCBANK,999.5
2020-03-17,HDFCBANK,975.1
2020-03-18,HDFCBANK,876.9
2020-03-19,HDFCBANK,895.55
2020-03-20,HDFCBANK,882.85
2020-03-23,HDFCBANK,771.55
2020-03-24,HDFCBANK,767.7
2020-03-25,HDFCBANK,856.75
